ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD
8,1,1,2019,1,4,0,3,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD LICENCIADO ADOLFO RUÍZ CORTINES,CALLE PASEO DEL RÍO,,-102.31962,21.87119
9,1,1,2019,1,9,45,3,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA PASEO DE LA SOLIDARIDAD,AVENIDA AGUASCALIENTES NORTE,,-102.28652,21.91522
10,1,1,2019,1,10,40,3,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,37,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA UNIVERSIDAD,CALLE ABEDUL,,-102.30621,21.90032
11,1,1,2019,1,14,55,3,4,1,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,34,0,1,0,0,0,0,0,0,0,0,0,1,2,AVENIDA MAHATMA GANDHI,CALLE ABRAHAM GONZÁLEZ,,-102.29386,21.84853
12,1,1,2019,1,19,0,3,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,53,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA GLORIETA BENITO JUÁREZ,CALLE IGNACIO T. CHÁVEZ,,-102.30055,21.873920000000002
13,1,1,2019,1,19,20,3,4,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,5,9,25,0,1,0,0,0,1,0,0,0,0,0,2,2,CALLE FORTUNA,CALLE ALEGRÍA,,-102.28989,21.87417
14,1,1,2019,1,22,0,3,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA HEROE INMORTAL,FRENTE AL NUMERO 1821,,-102.26911,21.84252
16,1,1,2019,1,13,30,3,4,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,43,0,1,0,0,0,0,0,0,0,0,0,1,2,AVENIDA AGUASCALIENTES,FRENTE A LA SECRETARIA DE SEGURIDAD PUBLICA,,-102.25645,21.87744
17,1,1,2019,1,8,40,4,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,49,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE JOSÉ MARÍA ELIZALDE,CALLE MAR DEL NORTE,,-102.31555,21.895410000000002
18,1,1,2019,1,10,35,4,5,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA HÉROE DE NACOZARI SUR,CALLE SAN JOAQUÍN,,-102.28183,21.87054
19,1,1,2019,1,14,0,4,5,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,9,22,0,1,0,0,0,0,0,0,0,0,0,1,2,CALLE VALLE DE LOS ROMERO,CALLE FELIPE II,,-102.26637,21.93029
21,1,1,2019,1,15,40,4,5,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,52,0,1,0,0,0,0,0,0,0,0,0,1,2,CALLE PAZ ROMO DE VIVAR,CALLE ELVIA ALICIA MEDRANO,,-102.25446,21.9033
23,1,1,2019,1,16,35,4,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,43,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA MANUEL GÓMEZ MORÍN,AVENIDA HEROICO COLEGIO MILITAR,,-102.2855,21.90205
