ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID
1086130-999-0,31,1,2023,50,3,2,1,7,2,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,8,41,0,1,0,0,0,0,0,0,0,0,0,1,2,28,87,,-89.5987697,20.94518257,259257
1086130-999-1,31,1,2023,50,4,50,1,7,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,33,0,0,0,0,0,0,0,0,0,0,0,0,3,LICENCIADO MANUEL BERZUNZA,35,,-89.56100761,20.99887613,259258
1086130-999-2,31,1,2023,50,6,28,1,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,3,JUAN PABLO II,,,-89.67728279,20.95915102,259259
1086130-999-3,31,1,2023,50,7,11,1,7,2,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,5,8,21,0,2,0,1,0,0,0,0,0,0,0,3,2,127,127,,-89.63779276,20.92881351,259260
1086130-999-4,31,1,2023,50,7,54,1,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,33,0,1,0,0,0,0,0,0,0,0,0,1,2,96,59 G,,-89.64627291,20.97763703,259261
1086130-999-5,31,1,2023,50,8,55,1,7,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,1,0,0,0,0,0,0,0,0,0,1,2,50,179,,-89.61983021,20.90092521,259262
1086130-999-6,31,1,2023,50,9,26,1,7,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,23,0,1,0,1,0,0,0,0,0,0,0,2,2,44,HIDALGO (21),,-89.64472304,20.98952838,259263
1086130-999-7,31,1,2023,50,10,36,1,7,2,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,8,22,0,1,0,1,0,0,0,0,0,0,0,2,2,95,70,,-89.70129151,20.98745303,259264
1086130-999-8,31,1,2023,50,12,8,1,7,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,103,74,,-89.70538438,20.98766135,259265
1086130-999-9,31,1,2023,50,15,26,1,7,2,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,8,31,0,1,0,0,0,0,0,0,0,0,0,1,2,22,22,,-89.67818988,20.96278679,259266
1086130-999-10,31,1,2023,50,20,30,1,7,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,54,0,0,0,0,0,0,0,0,0,0,0,0,3,52,73 A,,-89.61986853,20.95791364,259267
1086130-999-11,31,1,2023,50,22,33,1,7,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,60,0,0,0,0,0,0,0,0,0,0,0,0,3,10,41,,-89.59286529,20.97816368,259268
1086130-999-12,31,1,2023,50,0,34,2,1,1,0,10,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,6,9,0,0,2,0,2,0,0,0,0,0,0,0,4,2,22,41,,-89.57509046,20.98358267,259269
1086130-999-13,31,1,2023,50,1,55,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,80 A,149,,-89.64224934,20.91994663,259270
1086130-999-14,31,1,2023,50,2,54,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,7,22,0,0,0,0,0,0,0,0,0,0,0,0,3,158,154 DIAGONAL,,-89.54144689,20.98305461,259271
1086130-999-15,31,1,2023,50,13,6,2,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,60,0,0,0,0,0,0,0,0,0,0,0,0,3,42,,,-89.65470227,21.01302503,259272
1086130-999-16,31,1,2023,50,17,57,2,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,5,1,2,4,9,58,0,0,0,0,0,0,0,1,0,0,0,1,2,20,3 G,,-89.67273463,20.9838323,259273
1086130-999-17,31,1,2023,50,18,21,2,1,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,8,23,0,1,0,0,0,0,0,0,0,0,0,1,2,149,80 A,,-89.64553742,20.92061931,259274
1086130-999-18,31,1,2023,50,21,1,2,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,47,0,0,0,0,0,0,0,0,0,0,0,0,3,42,53 D,,-89.64228422,21.02759686,259275
1086130-999-19,31,1,2023,50,21,7,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,5,9,52,0,0,0,0,0,1,0,0,0,0,0,1,2,16,31,,-89.60967078,20.99766872,259276
1086130-999-20,31,1,2023,50,7,8,3,2,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,32,0,1,0,1,0,0,0,0,0,0,0,2,2,64,77,,-89.62814616,20.95689407,259277
1086130-999-21,31,1,2023,50,7,30,3,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,72,72,,-89.68419219,21.02315773,259278
1086130-999-22,31,1,2023,50,21,42,3,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,46,0,0,0,0,0,0,0,0,0,0,0,0,3,TECNOLÓGICO (60),23,,-89.6262995,21.02565105,259279
1086130-999-23,31,1,2023,50,0,38,4,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,18,,-89.65251121,20.9654554,259280
1086130-999-24,31,1,2023,50,8,22,4,3,2,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70 A,17 C,,-89.68723979,21.01454617,259281
1086130-999-25,31,1,2023,50,17,26,4,3,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,5,9,24,0,1,0,0,0,0,0,0,0,0,0,1,2,TECNOLÓGICO (60),19 A,,-89.62397124,21.01219709,259282
1086130-999-27,31,1,2023,50,12,26,5,4,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,4,9,24,0,0,0,0,0,1,0,0,0,0,0,1,2,35,DAMASCO,,-89.57015139,20.99880895,259283
1086130-999-28,31,1,2023,50,14,4,5,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,3,32,77 A,,-89.60924217,20.95149989,259284
1086130-999-29,31,1,2023,50,3,48,6,5,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,61 A,120,,-89.72667103,21.00080372,259285
1086130-999-30,31,1,2023,50,7,13,6,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,4,8,26,0,1,0,0,0,0,0,0,0,0,0,1,2,LICENCIADO MANUEL BERZUNZA,,,-89.56505866,21.02084924,259286
1086130-999-31,31,1,2023,50,12,8,6,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,31,0,0,0,0,0,0,0,0,0,0,0,0,3,67,72,,-89.63263922,20.96434507,259287
1086130-999-32,31,1,2023,50,13,2,6,5,1,0,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,8,33,0,2,0,1,0,0,0,0,0,0,0,3,2,108,53,,-89.65960352,21.07750554,259288
1086130-999-33,31,1,2023,50,14,18,6,5,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,5,8,64,0,1,0,0,0,0,0,0,0,0,0,1,2,70,70,,-89.69062043,21.00678742,259289
1086130-999-34,31,1,2023,50,17,8,6,5,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,114,77,,-89.72598891,20.99423372,259290
1086130-999-35,31,1,2023,50,21,27,6,5,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,5,9,30,0,1,0,0,0,0,0,0,0,0,0,1,2,ITZÁES (86 B),90,,-89.64262184,20.95753781,259291
